index,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNC,EXCEPTRSND,SEVERITYCO,SEVERITYDE,COLLISIONT,PERSONCOUN,PEDCOUNT,PEDCYLCOUN,VEHCOUNT,INJURIES,SERIOUSINJ,FATALITIES,INCDATE,INCDTTM,JUNCTIONTY,SDOT_COLCO,SDOT_COLDE,INATTENTIO,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTG,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKK,HITPARKEDC,geometry,near_str_index
104315,104316,118541,118541,3559540,Matched,Intersection,29794,13TH AVE AND E CHERRY ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-09-04T00:00:00.000Z,9/4/2011,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,11247004,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1274832.526134223 225319.8816267848),55.0
104342,104343,118682,118682,3564601,Matched,Intersection,26679,1ST AVE NW AND NW 36TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-04-01T00:00:00.000Z,4/1/2011 12:46:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,,11091009,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1264748.164139897 241902.3853237629),1560.0
104346,104347,118547,118547,3545586,Matched,Intersection,486567,M L KING JR ER WAY S AND S OTHELLO ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-09-24T00:00:00.000Z,9/24/2011 4:00:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,11267004,,45,Vehicle - Pedalcyclist,0,545762,N,POINT (1282818.003262401 199264.2156801075),1865.0
104396,104397,118967,118967,3377826,Matched,Block,,5TH AVE BETWEEN BLANCHARD ST AND BELL ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-01-27T00:00:00.000Z,1/27/2011 1:00:00 AM,Mid-Block (not related to intersection),21,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,11027001,,45,Vehicle - Pedalcyclist,36118,0,N,POINT (1268235.869999468 228219.2531497478),15749.0
104397,104398,118821,118821,3466659,Matched,Intersection,24804,23RD AVE NE AND NE 65TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-08-27T00:00:00.000Z,8/27/2011 11:11:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,11239019,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1278440.231225923 249957.8897160143),4242.0
104400,104401,117436,117436,3374105,Matched,Block,,BEACON AVE S BETWEEN S HANFORD ST AND S HORTON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2010-09-12T00:00:00.000Z,9/12/2010 1:25:00 PM,Mid-Block (not related to intersection),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,Y,N,Clear or Partly Cloudy,Dry,Daylight,Y,10255001,,45,Vehicle - Pedalcyclist,13391,0,N,POINT (1276176.738871604 213077.3132942468),3398.0
104414,104415,117442,117442,3326062,Matched,Intersection,29566,4TH AVE AND OLIVE WAY,,,2,Injury Collision,Cycles,2,1,1,0,2,0,0,2010-05-07T00:00:00.000Z,5/7/2010 7:35:00 AM,At Intersection (intersection related),64,PEDALCYCLIST STRUCK PEDESTRIAN,,N,Clear or Partly Cloudy,Dry,Daylight,,10127011,,45,Vehicle - Pedalcyclist,12774,523727,N,POINT (1269168.478512421 226935.948188439),14401.0
104461,104462,120084,120084,3559325,Matched,Block,,NW 45TH ST BETWEEN 11TH AVE NW AND 14TH AVE NW,,,2,Injury Collision,Cycles,1,0,1,0,1,0,0,2011-04-04T00:00:00.000Z,4/4/2011 5:02:00 PM,Mid-Block (not related to intersection),69,PEDALCYCLIST OVERTURNED IN ROAD,,N,Raining,Wet,Daylight,,11094019,,45,Vehicle - Pedalcyclist,41861,0,N,POINT (1261231.796392292 245075.5588950068),12979.0
104499,104500,121061,121061,3383691,Matched,Intersection,28332,EASTLAKE AVE E AND E GARFIELD ST,,,2,Injury Collision,Left Turn,2,0,1,1,1,0,0,2011-07-05T00:00:00.000Z,7/5/2011 4:54:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,Y,11186003,,28,From opposite direction - one left turn - one straight,25387,0,N,POINT (1272516.78597185 234779.6425324678),8894.0
104541,104542,119520,119520,3372608,Matched,Intersection,31372,1ST AVE S AND S LANDER ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-06-08T00:00:00.000Z,6/8/2011 3:03:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Dry,Daylight,Y,11159001,,45,Vehicle - Pedalcyclist,5329,0,N,POINT (1270008.956465289 215109.6856483221),10943.0
104543,104544,119799,119799,3562389,Matched,Intersection,29580,3RD AVE AND PINE ST,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2011-11-03T00:00:00.000Z,11/3/2011 7:02:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,11307026,,45,Vehicle - Pedalcyclist,35766,0,N,POINT (1269119.038256377 226412.0677399039),6660.0
104585,104586,119951,119951,3329387,Matched,Block,,EASTLAKE AVE E BETWEEN E HAMLIN ST AND E SHELBY ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-02-01T00:00:00.000Z,2/1/2011 9:01:00 AM,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,11032004,,45,Vehicle - Pedalcyclist,24681,0,N,POINT (1272702.002292037 239389.2466971874),17233.0
104604,104605,120092,120092,3552811,Matched,Intersection,28775,DEXTER AVE N AND REPUBLICAN ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-07-15T00:00:00.000Z,7/15/2011 5:30:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Unknown,Unknown,Unknown,Y,11196030,,45,Vehicle - Pedalcyclist,12628,0,N,POINT (1268305.74238354 230981.4332485795),6706.0
104688,104689,121612,121612,3373261,Matched,Intersection,31345,1ST AVE S AND S HOLGATE ST,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2011-07-20T00:00:00.000Z,7/20/2011 5:51:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,11201006,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1270054.451761335 217404.5661626756),4542.0
104696,104697,119531,119531,3383372,Matched,Intersection,30506,2ND AVE S AND S JACKSON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-06-09T00:00:00.000Z,6/9/2011 8:53:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Dusk,Y,11160011,,45,Vehicle - Pedalcyclist,4848,0,N,POINT (1270793.938226089 222168.3961835504),5290.0
104719,104720,119961,119961,3568953,Matched,Intersection,27065,11TH AVE NE AND NE 45TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-02-07T00:00:00.000Z,2/7/2011 2:40:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Raining,Wet,Daylight,,11038001,Y,45,Vehicle - Pedalcyclist,0,520889,N,POINT (1274930.22776632 244741.2228306681),2340.0
104722,104723,120384,120384,3341788,Matched,Intersection,28775,DEXTER AVE N AND REPUBLICAN ST,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2011-06-09T00:00:00.000Z,6/9/2011 6:55:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,11160010,,45,Vehicle - Pedalcyclist,12643,0,N,POINT (1268305.74238354 230981.4332485795),6706.0
104736,104737,120379,120379,3544932,Matched,Block,,ROOSEVELT WAY NE BETWEEN NE 42ND N ST AND NE 43RD S ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-09-21T00:00:00.000Z,9/21/2011 8:39:00 AM,Mid-Block (not related to intersection),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,Y,11264009,,45,Vehicle - Pedalcyclist,8990,0,N,POINT (1274621.021750003 243878.6222537905),19267.0
104758,104759,120664,120664,3566408,Matched,Intersection,30794,RAINIER AVE S AND S CHARLES S ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-07-15T00:00:00.000Z,7/15/2011 1:35:00 AM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Overcast,Dry,Dark - Street Lights On,,11196008,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1276043.599415466 220195.7387735397),3758.0
104759,104760,121072,121072,3288339,Matched,Block,,CALIFORNIA AVE SW BETWEEN SW GENESEE ST AND SW OREGON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-10-20T00:00:00.000Z,10/20/2011 11:37:00 AM,Mid-Block (not related to intersection),56,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,,N,Clear or Partly Cloudy,Dry,Daylight,,11293027,,45,Vehicle - Pedalcyclist,2674,0,N,POINT (1256918.216739878 209533.868426621),6296.0
104761,104762,120940,120940,3377752,Matched,Block,,HOWELL ST BETWEEN MINOR AVE AND YALE AVE,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-01-13T00:00:00.000Z,1/13/2011 7:48:00 PM,Mid-Block (but intersection related),21,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,N,Raining,Wet,Dark - Street Lights On,Y,11013007,,45,Vehicle - Pedalcyclist,14399,0,N,POINT (1271278.480690584 228715.3143982589),13931.0
104867,104868,119680,119680,3567231,Matched,Intersection,30132,17TH AVE AND E MADISON ST,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2011-10-12T00:00:00.000Z,10/12/2011 3:33:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Overcast,Dry,Daylight,Y,11285008,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1276193.988919616 228043.2848935723),2473.0
104874,104875,120808,120808,3562915,Matched,Intersection,29510,DENNY WAY AND WESTLAKE AVE,,,1,Property Damage Only Collision,Cycles,4,0,1,2,0,0,0,2011-08-11T00:00:00.000Z,8/11/2011 11:02:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,11223023,,45,Vehicle - Pedalcyclist,37291,0,N,POINT (1269228.121136487 229252.4793908149),1030.0
104959,104960,121501,121501,3559485,Matched,Block,,ROOSEVELT WAY NE BETWEEN NE 52ND ST AND NE 53RD ST,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2011-05-20T00:00:00.000Z,5/20/2011 6:15:00 PM,Mid-Block (not related to intersection),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,,11140022,,45,Vehicle - Pedalcyclist,9132,0,N,POINT (1274770.503222167 246742.8854247183),15021.0
104972,104973,119690,119690,3548329,Matched,Block,,S GRAHAM ST BETWEEN M L KING JR ER WAY S AND 38TH AVE S,,,2,Injury Collision,Cycles,4,0,1,1,1,0,0,2011-10-27T00:00:00.000Z,10/27/2011 3:58:00 PM,Driveway Junction,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,11300017,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1281878.841533437 202565.043203488),14161.0
104981,104982,119981,119981,3562585,Matched,Intersection,28667,DENNY WAY AND QUEEN ANNE AVE N,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2011-10-08T00:00:00.000Z,10/8/2011 10:43:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,Y,Raining,Wet,Dark - Street Lights On,,11281002,,45,Vehicle - Pedalcyclist,41826,0,N,POINT (1264723.202347875 229367.6919349283),8995.0
105077,106078,120187,120187,3566482,Matched,Intersection,31377,6TH AVE S AND S FOREST ST,,,2b,Serious Injury Collision,Cycles,2,0,1,1,1,1,0,2011-03-15T00:00:00.000Z,3/15/2011 9:33:00 PM,At Intersection (intersection related),21,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,N,Raining,Wet,Dark - Street Lights On,Y,11074008,,45,Vehicle - Pedalcyclist,19404,0,N,POINT (1272023.317811355 214309.4403995126),7764.0
105139,106140,120467,120467,3565911,Matched,Block,,BROADWAY E BETWEEN E HARRISON ST AND E REPUBLICAN ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-05-13T00:00:00.000Z,5/13/2011 1:50:00 PM,Mid-Block (not related to intersection),56,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,,N,Clear or Partly Cloudy,Dry,Daylight,,11133017,,45,Vehicle - Pedalcyclist,6261,0,N,POINT (1273588.761396959 230635.3561282307),651.0
105140,106141,120742,120742,3287431,Matched,Intersection,29757,BROADWAY AND E UNION ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-08-01T00:00:00.000Z,8/1/2011,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,11213012,,45,Vehicle - Pedalcyclist,9234,0,N,POINT (1273558.806836918 227135.8089246452),6279.0
105164,106165,121027,121027,3566353,Matched,Intersection,29293,27TH AVE E AND E MADISON S ST,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2011-09-08T00:00:00.000Z,9/8/2011,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,11251014,,45,Vehicle - Pedalcyclist,34580,0,N,POINT (1279361.73522687 230536.1128001213),14560.0
105188,106189,119769,119769,3560637,Matched,Intersection,26691,NICKERSON ST AND QUEEN ANNE AVE N,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-05-03T00:00:00.000Z,5/3/2011 6:11:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,11123023,,45,Vehicle - Pedalcyclist,12480,0,N,POINT (1264720.989483878 240738.6853545755),4855.0
105213,106214,119487,119487,2825323,Matched,Intersection,32923,CALIFORNIA AVE SW AND SW GRAHAM ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-07-01T00:00:00.000Z,7/1/2011 8:21:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,,11182005,,45,Vehicle - Pedalcyclist,32478,0,N,POINT (1256687.891747639 203287.6460842192),1990.0
105279,106280,120477,120477,3552969,Matched,Intersection,24306,GREENWOOD AVE N AND N 75TH ST,,,2,Injury Collision,Cycles,4,0,2,1,2,0,0,2011-09-03T00:00:00.000Z,9/3/2011,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,11246042,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1265549.540652722 252949.5963430703),3598.0
105306,106307,121036,121036,3566226,Matched,Intersection,30426,10TH AVE S AND S JACKSON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-06-27T00:00:00.000Z,6/27/2011 12:26:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Dry,Daylight,,11178005,,45,Vehicle - Pedalcyclist,24474,0,N,POINT (1273738.875957102 222105.1769834906),15313.0
105337,106338,119633,119633,3561304,Matched,Intersection,29541,VIRGINIA ST AND WESTLAKE AVE,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-08-07T00:00:00.000Z,8/7/2011,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,11219025,,45,Vehicle - Pedalcyclist,14298,0,N,POINT (1269384.191792652 227898.6602534205),1007.0
105360,106361,121584,121584,3466986,Matched,Block,,8TH AVE NW BETWEEN NW 56TH ST AND NW 57TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-07-05T00:00:00.000Z,7/5/2011 8:44:00 AM,Mid-Block (but intersection related),54,PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,,N,Clear or Partly Cloudy,Dry,Daylight,Y,11186023,,45,Vehicle - Pedalcyclist,2426,0,N,POINT (1262772.286953881 248081.3430900872),10397.0
105453,106454,121452,121452,3377709,Matched,Block,,CHERRY ST BETWEEN 1ST AVE AND 2ND AVE,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-12-27T00:00:00.000Z,12/27/2011 2:49:00 PM,Driveway Junction,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Raining,Wet,Daylight,,11361002,,45,Vehicle - Pedalcyclist,13300,0,N,POINT (1270289.348529577 223486.7350009084),3472.0
105472,106473,119506,119506,3545166,Matched,Intersection,26042,24TH AVE NE AND RAVENNA PL NE,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2011-10-24T00:00:00.000Z,10/24/2011 7:18:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Raining,Sand/Mud/Dirt,Dawn,Y,11297031,,45,Vehicle - Pedalcyclist,11728,0,N,POINT (1278575.751994058 246779.1538407505),3769.0
105493,106494,119647,119647,3564908,Matched,Block,,8TH AVE NW BETWEEN NW 54TH ST AND NW MARKET ST,,,2b,Serious Injury Collision,Cycles,2,0,1,1,1,1,0,2011-03-18T00:00:00.000Z,3/18/2011 2:06:00 PM,Mid-Block (not related to intersection),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Overcast,Dry,Daylight,,11077011,,45,Vehicle - Pedalcyclist,2413,0,N,POINT (1262760.666217864 247529.7903215289),20802.0
105538,106539,120360,120360,3562805,Matched,Intersection,27758,FLORENTIA ST AND QUEEN ANNE E AVE N,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-08-26T00:00:00.000Z,8/26/2011 2:55:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,11238011,,45,Vehicle - Pedalcyclist,34771,0,N,POINT (1264900.374316052 239683.3696414977),3755.0
105570,106571,121051,121051,2825325,Matched,Intersection,35094,8TH AVE S AND S CLOVERDALE ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-09-10T00:00:00.000Z,9/10/2011 5:46:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,Y,11253007,,45,Vehicle - Pedalcyclist,0,521995,N,POINT (1272417.12696375 195600.5894363523),3315.0
105602,106603,119656,119656,3342858,Matched,Intersection,31066,CALIFORNIA AVE SW AND SW ADMIRAL WAY,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-03-26T00:00:00.000Z,3/26/2011 2:13:00 AM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,Y,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,11085025,,45,Vehicle - Pedalcyclist,32697,0,N,POINT (1257102.362148076 215870.8315051049),1934.0
105638,106639,119797,119797,3552653,Matched,Block,,11TH AVE NE BETWEEN EASTLAKE AVE NE AND NE 42ND ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-07-16T00:00:00.000Z,7/16/2011 12:36:00 AM,Mid-Block (not related to intersection),52,PEDALCYCLIST STRUCK MOTOR VEHICLE RIGHT SIDE AT ANGLE,,Y,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,11197030,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1274885.230838284 243510.2196934074),5068.0
105644,106645,119795,119795,3562928,Matched,Intersection,30488,2ND AVE AND YESLER WAY,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2011-11-18T00:00:00.000Z,11/18/2011 7:40:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Wet,Daylight,,11322003,,45,Vehicle - Pedalcyclist,9964,0,N,POINT (1270711.71845001 223088.620440498),134.0
105673,106674,122820,122820,3332045,Matched,Intersection,29817,BOREN AVE AND JEFFERSON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-04-27T00:00:00.000Z,4/27/2011 1:36:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Overcast,Wet,Daylight,,11117005,,45,Vehicle - Pedalcyclist,10442,0,N,POINT (1273233.142580584 224517.6429059654),3427.0
105685,106686,122816,122816,3559194,Matched,Block,,UNIVERSITY WAY NE BETWEEN NE 55TH ST AND NE 56TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-06-30T00:00:00.000Z,6/30/2011 12:57:00 PM,Mid-Block (not related to intersection),21,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,N,Overcast,Dry,Daylight,,11181013,,45,Vehicle - Pedalcyclist,5582,0,N,POINT (1275860.886391282 247533.0120815337),3839.0
105704,106705,123241,123241,3466718,Matched,Intersection,27299,MONTLAKE BLVD NE AND NE PACIFIC ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-10-05T00:00:00.000Z,10/5/2011 4:17:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,Y,11278008,,45,Vehicle - Pedalcyclist,0,524625,N,POINT (1277798.016569257 240200.7080100179),12385.0
105731,106732,123098,123098,3552787,Matched,Intersection,37185,1ST AVE NW AND NW 85TH ST,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2011-07-11T00:00:00.000Z,7/11/2011 12:16:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,11192003,,45,Vehicle - Pedalcyclist,0,521017,N,POINT (1264941.290540099 255632.8449858278),9187.0
105786,106787,122002,122002,3569069,Matched,Intersection,27179,4TH AVE NE AND NE 45TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-05-11T00:00:00.000Z,5/11/2011 10:01:00 AM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,Y,11131027,,45,Vehicle - Pedalcyclist,6552,0,N,POINT (1273093.195316449 244793.776558727),1399.0
105807,106808,122828,122828,3380426,Matched,Block,,11TH AV SW ACCESS RD BETWEEN 13TH AVE SW AND KLICKITAT ER AVE SW,,,2b,Serious Injury Collision,Cycles,2,0,1,1,2,2,0,2011-04-30T00:00:00.000Z,4/30/2011 4:55:00 PM,Mid-Block (not related to intersection),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,,11120035,,45,Vehicle - Pedalcyclist,0,525537,N,POINT (1265409.72350058 212667.3164298236),2270.0
105849,106850,123684,123684,3562628,Matched,Intersection,30379,ALASKAN WAY AND MARION ST,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2011-06-13T00:00:00.000Z,6/13/2011 5:55:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,11164002,,45,Vehicle - Pedalcyclist,0,523341,N,POINT (1269289.658672556 223605.9344890267),598.0
105873,106874,123524,123524,3387315,Matched,Block,,S COLUMBIAN WAY BETWEEN S SPOKANE ST AND 15TH AVS TURN RD,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-01-06T00:00:00.000Z,1/6/2011 7:35:00 AM,Mid-Block (not related to intersection),23,"MOTOR VEHICLE STRUCK PEDALCYCLIST, LEFT SIDE SIDESWIPE",,N,Overcast,Wet,Daylight,Y,11006042,,45,Vehicle - Pedalcyclist,24534,0,N,POINT (1274893.945526287 211707.4389888495),20986.0
105881,106882,122142,122142,3569074,Matched,Intersection,24323,FREMONT AVE N AND N 73RD ST,,,2b,Serious Injury Collision,Cycles,2,0,1,1,1,1,0,2011-06-27T00:00:00.000Z,6/27/2011 9:39:00 AM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,,11178004,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1266870.364206076 252381.6311585009),3574.0
105898,106899,122005,122005,3376808,Matched,Block,,N 45TH ST BETWEEN N MIDVALE PL AND STONE WAY N,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-08-22T00:00:00.000Z,8/22/2011 4:28:00 PM,Driveway Junction,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,,11234032,,45,Vehicle - Pedalcyclist,28177,0,N,POINT (1268526.248559773 244899.7697748393),21383.0
105918,106919,122694,122694,3375978,Matched,Intersection,30542,6TH AVE S AND S DEARBORN ST,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2011-05-06T00:00:00.000Z,5/6/2011 9:44:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Raining,Wet,Dark - Street Lights On,Y,11126011,,45,Vehicle - Pedalcyclist,0,522031,N,POINT (1272053.794867381 220916.7845342755),4493.0
